Application                                                  Testcase           xsd  xml-compare        xpath
iGrafx Process 2013 for Six Sigma 15.0.4.1565                A.1.0                0           41            7
iGrafx Process 2013 for Six Sigma 15.0.4.1565                B.2.0                0          408          138
Trisotech BPMN Visio Add in 5.0.1                            C.1.0                0          695          281
Trisotech BPMN Visio Add in 5.0.1                            A.3.0                0          171            0
Trisotech BPMN Visio Add in 5.0.1                            A.4.1                0          349           44
Trisotech BPMN Visio Add in 5.0.1                            A.2.0                0          169            0
Trisotech BPMN Visio Add in 5.0.1                            C.2.0                0          301            0
Trisotech BPMN Visio Add in 5.0.1                            A.4.0                0          313            0
Trisotech BPMN Visio Add in 5.0.1                            B.1.0                0          200            0
Trisotech BPMN Visio Add in 5.0.1                            A.1.0                0           82            0
Trisotech BPMN Visio Add in 5.0.1                            C.1.1                0          366          164
Trisotech BPMN Visio Add in 5.0.1                            B.2.0                0         1768            0
Trisotech BPMN Visio Add in 5.0.1                            C.3.0                0          414          197
Enterprise Architect 12.0.1207                               A.3.0                0           45           28
Enterprise Architect 12.0.1207                               A.4.1                0           98           40
Enterprise Architect 12.0.1207                               A.2.0                0           43           26
Enterprise Architect 12.0.1207                               A.4.0                0           89           42
Enterprise Architect 12.0.1207                               B.1.0                0           97           79
Enterprise Architect 12.0.1207                               A.1.0                0           27           12
Enterprise Architect 12.0.1207                               B.2.0                0          405          220
Camunda Eclipse Plugin 3.0.0                                 C.1.0                0           24            0
Camunda Eclipse Plugin 3.0.0                                 A.3.0                0           68            0
Camunda Eclipse Plugin 3.0.0                                 A.4.1                0            7            0
Camunda Eclipse Plugin 3.0.0                                 A.2.0                0           57            0
Camunda Eclipse Plugin 3.0.0                                 C.2.0                0           12            0
Camunda Eclipse Plugin 3.0.0                                 A.4.0                0          115            0
Camunda Eclipse Plugin 3.0.0                                 B.1.0                0           89            0
Camunda Eclipse Plugin 3.0.0                                 A.1.0                0           36            0
Camunda Eclipse Plugin 3.0.0                                 C.1.1                0           78            6
Camunda Eclipse Plugin 3.0.0                                 B.2.0                0           96            0
Camunda Eclipse Plugin 3.0.0                                 C.3.0                0           42            0
iGrafx FlowCharter 2013 15.1.1.1580                          A.3.0                0           59           17
iGrafx FlowCharter 2013 15.1.1.1580                          A.4.1                0          115           28
iGrafx FlowCharter 2013 15.1.1.1580                          A.2.0                0           57           11
iGrafx FlowCharter 2013 15.1.1.1580                          A.4.0                0          105           30
iGrafx FlowCharter 2013 15.1.1.1580                          B.1.0                1          165           52
iGrafx FlowCharter 2013 15.1.1.1580                          A.1.0                0           41            7
iGrafx FlowCharter 2013 15.1.1.1580                          B.2.0                0          410          138
W4 BPMN+ Composer V.10.4                                     C.1.0                0           79            0
W4 BPMN+ Composer V.10.4                                     A.3.0                0          153            0
W4 BPMN+ Composer V.10.4                                     A.4.1                0          247            0
W4 BPMN+ Composer V.10.4                                     A.2.0                0          151            0
W4 BPMN+ Composer V.10.4                                     C.2.0                0          687            0
